epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,603.064,1.08487,1.96447,1.08671,0.81477,0.76816,0.84845,0.58789,1.04581,1.32736,1.07527,0.000415264,0.000415264,0.000415264
2,1288.8,1.09242,1.19761,1.08574,0.80878,0.78323,0.86621,0.62413,0.99574,1.12279,1.06165,0.00079075,0.00079075,0.00079075
3,1932.76,1.0977,1.06449,1.08762,0.79531,0.84433,0.87996,0.62126,1.03429,0.97685,1.09361,0.00112499,0.00112499,0.00112499
4,2609.69,1.06433,0.95362,1.07057,0.82859,0.7897,0.85195,0.62638,1.00628,0.91203,1.06954,0.00106437,0.00106437,0.00106437
5,3205.74,1.02028,0.85352,1.05397,0.85482,0.81471,0.89004,0.64346,0.96441,0.8554,1.07861,0.0010025,0.0010025,0.0010025
6,3734.83,0.99366,0.82774,1.04265,0.88729,0.83624,0.89143,0.66619,0.92824,0.75436,1.03447,0.000940625,0.000940625,0.000940625
7,4554.84,0.9746,0.75251,1.03701,0.89704,0.87618,0.92136,0.69039,0.92492,0.67584,1.02681,0.00087875,0.00087875,0.00087875
8,5735.97,0.95185,0.74242,1.02232,0.87469,0.85517,0.90479,0.68826,0.87158,0.69753,1.02186,0.000816875,0.000816875,0.000816875
9,6668.61,0.94936,0.70089,1.02401,0.88025,0.87642,0.9224,0.70856,0.85568,0.65166,1.00211,0.000755,0.000755,0.000755
10,7468.63,0.90854,0.66552,1.00903,0.92044,0.87901,0.93782,0.73151,0.82153,0.57379,0.99255,0.000693125,0.000693125,0.000693125
11,8291.61,0.87653,0.60019,0.98632,0.94121,0.88773,0.94233,0.72944,0.84259,0.56832,1.00387,0.00063125,0.00063125,0.00063125
12,9092.16,0.85186,0.56612,0.97921,0.9316,0.89076,0.94376,0.736,0.83686,0.55263,0.9977,0.000569375,0.000569375,0.000569375
13,9883.01,0.83332,0.52812,0.96842,0.94467,0.91426,0.94756,0.74959,0.80504,0.51283,0.98815,0.0005075,0.0005075,0.0005075
14,10656.5,0.81516,0.51254,0.96228,0.9199,0.90848,0.94108,0.74501,0.82562,0.53299,0.98322,0.000445625,0.000445625,0.000445625
15,11385.5,0.79872,0.49986,0.95455,0.92354,0.92404,0.94771,0.75458,0.78621,0.49829,0.9725,0.00038375,0.00038375,0.00038375
16,12195.5,0.79217,0.47776,0.94956,0.94346,0.92159,0.95192,0.77118,0.78048,0.47836,0.97047,0.000321875,0.000321875,0.000321875
17,12958.7,0.77193,0.46722,0.94093,0.92832,0.93197,0.94979,0.76264,0.77375,0.46297,0.96941,0.00026,0.00026,0.00026
18,13736.2,0.76816,0.45362,0.94038,0.94225,0.92681,0.95136,0.7665,0.76963,0.45998,0.97249,0.000198125,0.000198125,0.000198125
19,14485.8,0.74505,0.43352,0.93784,0.93231,0.93205,0.95063,0.77507,0.75943,0.44986,0.9678,0.00013625,0.00013625,0.00013625
20,15277.5,0.7349,0.41761,0.92978,0.93817,0.92382,0.95181,0.77916,0.7499,0.43725,0.965,7.4375e-05,7.4375e-05,7.4375e-05
